# run_id=ec1c665e-b586-4c4a-9a2a-57022eafd668
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:35:03.309Z
# duration_ms=65020
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=25
# beats_synthetic=108
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
36641,beat.e2e_ms,118.000
36641,server.dwell_ms,4.513
36858,network.rtt_ms,5.000
37314,beat.e2e_ms,237.000
37314,server.dwell_ms,228.672
37896,beat.e2e_ms,136.000
37896,server.dwell_ms,7.739
38510,beat.e2e_ms,25.000
38510,server.dwell_ms,8.349
39264,beat.e2e_ms,267.000
39264,server.dwell_ms,213.608
39908,beat.e2e_ms,228.000
39908,server.dwell_ms,2.330
40755,beat.e2e_ms,136.000
40755,server.dwell_ms,2.571
41477,beat.e2e_ms,133.000
41477,server.dwell_ms,121.693
41867,network.rtt_ms,14.000
42063,beat.e2e_ms,36.000
42063,server.dwell_ms,1.849
43008,beat.e2e_ms,171.000
43008,server.dwell_ms,157.894
43390,beat.e2e_ms,126.000
43390,server.dwell_ms,117.040
43654,beat.e2e_ms,6.000
43654,server.dwell_ms,2.039
44237,beat.e2e_ms,120.000
44237,server.dwell_ms,115.254
44595,beat.e2e_ms,8.000
44595,server.dwell_ms,2.513
45064,beat.e2e_ms,7.000
45064,server.dwell_ms,2.842
45533,beat.e2e_ms,8.000
45533,server.dwell_ms,2.715
46002,beat.e2e_ms,7.000
46002,server.dwell_ms,2.418
46664,beat.e2e_ms,200.000
46664,server.dwell_ms,191.951
46664,lighting.frame,104.000
46664,lighting.e2e_ms,200.000
46664,lighting.frame,105.000
46664,lighting.e2e_ms,200.000
46665,lighting.frame,106.000
46665,lighting.e2e_ms,201.000
46665,lighting.frame,107.000
46665,lighting.e2e_ms,201.000
46665,lighting.frame,108.000
46665,lighting.e2e_ms,201.000
46665,lighting.frame,109.000
46665,lighting.e2e_ms,201.000
46666,lighting.frame,110.000
46666,lighting.e2e_ms,202.000
46666,lighting.frame,111.000
46666,lighting.e2e_ms,202.000
46667,lighting.frame,112.000
46667,lighting.e2e_ms,203.000
46667,lighting.frame,113.000
46667,lighting.e2e_ms,203.000
46667,lighting.frame,114.000
46667,lighting.e2e_ms,203.000
46669,lighting.frame,115.000
46669,lighting.e2e_ms,205.000
46669,lighting.frame,116.000
46669,lighting.e2e_ms,205.000
46670,lighting.frame,117.000
46670,lighting.e2e_ms,206.000
46670,lighting.frame,118.000
46670,lighting.e2e_ms,206.000
46671,lighting.frame,119.000
46671,lighting.e2e_ms,207.000
46672,lighting.frame,120.000
46672,lighting.e2e_ms,208.000
46676,lighting.frame,121.000
46676,lighting.e2e_ms,212.000
46677,lighting.frame,122.000
46677,lighting.e2e_ms,213.000
46677,lighting.frame,123.000
46677,lighting.e2e_ms,213.000
46677,lighting.frame,124.000
46677,lighting.e2e_ms,213.000
46677,lighting.frame,125.000
46677,lighting.e2e_ms,213.000
46859,network.rtt_ms,6.000
46951,beat.e2e_ms,18.000
46951,server.dwell_ms,2.092
47550,beat.e2e_ms,147.000
47550,server.dwell_ms,2.545
47963,beat.e2e_ms,91.000
47963,server.dwell_ms,2.459
48356,beat.e2e_ms,12.000
48356,server.dwell_ms,6.957
49041,beat.e2e_ms,230.000
49041,server.dwell_ms,179.330
49446,beat.e2e_ms,162.000
49446,server.dwell_ms,2.264
49923,beat.e2e_ms,174.000
49923,server.dwell_ms,3.892
50430,beat.e2e_ms,211.000
50430,server.dwell_ms,2.647
50855,beat.e2e_ms,167.000
50855,server.dwell_ms,2.505
51508,beat.e2e_ms,351.000
51508,server.dwell_ms,293.592
51710,beat.e2e_ms,83.000
51710,server.dwell_ms,2.296
51942,network.rtt_ms,89.000
52146,beat.e2e_ms,7.000
52146,server.dwell_ms,2.855
52618,beat.e2e_ms,10.000
52618,server.dwell_ms,2.722
53338,beat.e2e_ms,261.000
53338,server.dwell_ms,247.364
53601,beat.e2e_ms,53.000
53601,server.dwell_ms,2.485
54073,beat.e2e_ms,14.000
54073,server.dwell_ms,2.093
54540,beat.e2e_ms,12.000
54540,server.dwell_ms,3.278
55186,beat.e2e_ms,189.000
55186,server.dwell_ms,180.203
55586,beat.e2e_ms,116.000
55586,server.dwell_ms,2.168
56855,network.rtt_ms,2.000
57021,beat.e2e_ms,61.000
57021,server.dwell_ms,2.140
57445,beat.e2e_ms,16.000
