# run_id=045aeef4-8786-4166-845f-7f82a576d92f
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:24:28.812Z
# duration_ms=65026
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=16
# beats_synthetic=110
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
51502,lighting.e2e_ms,91.000
51502,lighting.frame,113.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,114.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,115.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,116.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,117.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,118.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,119.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,120.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,121.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,122.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,123.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,124.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,125.000
51502,lighting.e2e_ms,91.000
51588,beat.e2e_ms,4.000
51588,server.dwell_ms,1.384
52117,beat.e2e_ms,23.000
52117,server.dwell_ms,2.091
52611,beat.e2e_ms,91.000
52612,server.dwell_ms,2.672
53038,beat.e2e_ms,6.000
53038,server.dwell_ms,2.781
53467,beat.e2e_ms,6.000
53467,server.dwell_ms,3.458
54035,beat.e2e_ms,64.000
54035,server.dwell_ms,62.059
54581,beat.e2e_ms,13.000
54581,server.dwell_ms,1.482
55128,beat.e2e_ms,90.000
55128,server.dwell_ms,74.543
55539,beat.e2e_ms,32.000
55539,server.dwell_ms,3.505
56036,beat.e2e_ms,17.000
56036,server.dwell_ms,5.833
56154,network.rtt_ms,37.000
56508,beat.e2e_ms,19.000
56508,server.dwell_ms,1.357
56991,beat.e2e_ms,33.000
56991,server.dwell_ms,24.320
57437,beat.e2e_ms,9.000
57437,server.dwell_ms,1.120
57944,beat.e2e_ms,3.000
57944,server.dwell_ms,1.480
58411,beat.e2e_ms,3.000
58411,server.dwell_ms,1.279
59109,beat.e2e_ms,18.000
59109,server.dwell_ms,14.624
60422,beat.e2e_ms,8.000
60422,server.dwell_ms,1.161
61121,network.rtt_ms,3.000
61355,beat.e2e_ms,3.000
61355,server.dwell_ms,1.197
62312,beat.e2e_ms,16.000
62312,server.dwell_ms,13.876
62774,lighting.frame,126.000
62774,lighting.e2e_ms,14.000
62774,server.dwell_ms,5.067
62774,lighting.frame,127.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,128.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,129.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,130.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,131.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,132.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,133.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,134.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,135.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,136.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,137.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,138.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,139.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,140.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,141.000
62774,lighting.e2e_ms,14.000
62774,lighting.frame,142.000
62774,lighting.e2e_ms,14.000
62775,lighting.frame,143.000
62775,lighting.e2e_ms,15.000
62775,lighting.frame,144.000
62775,lighting.e2e_ms,15.000
62775,lighting.frame,145.000
62775,lighting.e2e_ms,15.000
62775,lighting.frame,146.000
62775,lighting.e2e_ms,15.000
62775,lighting.frame,147.000
62775,lighting.e2e_ms,15.000
63083,beat.e2e_ms,149.000
63083,server.dwell_ms,144.437
63501,beat.e2e_ms,143.000
63501,server.dwell_ms,124.234
63828,beat.e2e_ms,43.000
63828,server.dwell_ms,40.769
64307,beat.e2e_ms,52.000
64307,server.dwell_ms,1.484
64728,beat.e2e_ms,5.000
64728,server.dwell_ms,1.743
,server.beat.ingest_ms,0.634
,server.beat.ingest_ms,0.533
,server.beat.ingest_ms,0.873
,server.beat.ingest_ms,0.705
,server.beat.ingest_ms,0.677
,server.beat.ingest_ms,0.677
,server.beat.ingest_ms,0.570
,server.beat.ingest_ms,0.845
,server.beat.ingest_ms,0.819
,server.beat.ingest_ms,0.879
,server.beat.ingest_ms,0.599
,server.beat.ingest_ms,0.671
,server.beat.ingest_ms,0.594
,server.beat.ingest_ms,0.660
,server.beat.ingest_ms,0.576
,server.beat.ingest_ms,0.791
,server.beat.ingest_ms,0.694
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,0.731
,server.beat.ingest_ms,0.577
